 *, *, *, *,470uF,0,0,CHENG ,CAP ALUM 470uF 63v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,2
 *, *, *, *,22uF,0,0,CHENG ,CAP ALUM 22uF 100v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,3
 *, *, *, *,220uF,0,0,CHENG ,CAP ALUM 220uf100V V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,4
 *, *, *, *,100uF,0,0,CHENG ,CAP ALUM 100uF 63v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,5
 *, *, *, *,470uF,0,0,CHENG ,CAP ALUM 470uF 16v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,6
 *, *, *, *,100uF,0,0,CHENG ,CAP ALUM 100uF 35v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,7
 *, *, *, *,100uF,0,0,CHENG ,CAP ALUM 100uF 10V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,8
 *, *, *, *,47uF,0,0,CHENG ,CAP ALUM 47uF 10V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,9
 *, *, *, *,220uF,0,0,CHENG ,CAP ALUM 220uF 10V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,10
 *, *, *, *,680uF,0,0,CHENG ,CAP ALUM 680uF 35v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,11
 *, *, *, *,10uF,0,0,CHENG ,CAP ALUM 10uF 350v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,12
 *, *, *, *,100uF,0,0,CHENG ,CAP ALUM 100uF 250v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,13
 *, *, *, *,2200uF,0,0,CHENG ,CAP ALUM 2200uF 35v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,14
 *, *, *, *,100uF,0,0,CHENG ,CAP ALUM 100uF 16v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,15
 *, *, *, *,10uF,0,0,CHENG ,CAP ALUM 10uF 16ve 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,16
 *, *, *, *,22000uF,0,0,CHENG ,CAP ALUM 22000uF 16v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,17
 *, *, *, *,47uF,0,0,CHENG ,CAP ALUM 47uF 250v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,18
 *, *, *, *,150uF,0,0,CHENG ,CAP ALUM 150uF 35v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,19
 *, *, *, *,47uF,0,0,CHENG ,CAP ALUM 47uF 400v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,20
 *, *, *, *,33uF,0,0,CHENG ,CAP ALUM 33uF 35v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,21
 *, *, *, *,330uF,0,0,CHENG ,CAP ALUM 330uF 35v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,22
 *, *, *, *,470uF,0,0,CHENG ,CAP ALUM 470uF 50v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,23
 *, *, *, *,47uF,0,0,CHENG ,CAP ALUM 47uF 35v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,24
 *, *, *, *,330uF,0,0,CHENG ,CAP ALUM 330uF 16v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,25
 *, *, *, *,33uF,0,0,CHENG ,CAP ALUM 33uF 50v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,26
 *, *, *, *,56uF,0,0,CHENG ,CAP ALUM 56uF 16v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,27
 *, *, *, *,680uF,0,0,CHENG ,CAP ALUM 680uF 25vE 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,28
 *, *, *, *,220uF,0,0,CHENG ,CAP ALUM 220uF 50v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,29
 *, *, *, *,4700uF,0,0,CHENG ,CAP ALUM 4700uF 25v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,30
 *, *, *, *,330uF,0,0,CHENG ,CAP ALUM 330uF 25v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,31
 *, *, *, *,4700uF,0,0,CHENG ,CAP ALUM 4700uF 16v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,32
 *, *, *, *,47uF,0,0,CHENG ,CAP ALUM 47uF 25v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,33
 *, *, *, *,470uF,0,0,CHENG ,CAP ALUM 470uF 25vE 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,34
 *, *, *, *,2200uF,0,0,CHENG ,CAP ALUM 2200uF 25v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,35
 *, *, *, *,2200uF,0,0,CHENG ,CAP ALUM 2200uF 16v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,36
 *, *, *, *,220uF,0,0,CHENG ,CAP ALUM 220uF 25v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,37
 *, *, *, *,10uF,0,0,CHENG ,CAP ALUM 10uF 50v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,38
 *, *, *, *,1F,0,0,CHENG ,CAP ALUM 1F 5.5V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,39
 *, *, *, *,150uF,0,0,CHENG ,CAP ALUM 150uF 100v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,40
 *, *, *, *,47uF,0,0,CHENG ,CAP ALUM 47uF 50v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,41
 *, *, *, *,33uF,0,0,CHENG ,CAP ALUM 33uF 100v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,42
 *, *, *, *,100uF,0,0,CHENG ,CAP ALUM 100uF 100v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,43
 *, *, *, *,1000uF,0,0,CHENG ,CAP ALUM 1000uF 16vE 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,44
 *, *, *, *,33uF,0,0,CHENG ,CAP ALUM 33uF 16v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,45
 *, *, *, *,1000uF,0,0,CHENG ,CAP ALUM 1000uF 35v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,46
 *, *, *, *,33uF,0,0,CHENG ,CAP ALUM 33uF 25v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,47
 *, *, *, *,1000uF,0,0,CHENG ,CAP ALUM 1000uF 25vE 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,48
 *, *, *, *,330uF,0,0,CHENG ,CAP ALUM 330uF 50v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,49
 *, *, *, *,47uF,0,0,CHENG ,CAP ALUM 47uF 16v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,50
 *, *, *, *,1500uF,0,0,CHENG ,CAP ALUM 1500uF 10V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,51
 *, *, *, *,1000uF,0,0,CHENG ,CAP ALUM 1000uF 10V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,52
 *, *, *, *,22uf450V,0,0,CHENG ,CAP ALUM 22uf450V V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,53
 *, *, *, *,470uF,0,0,CHENG ,CAP ALUM 470uF 35v-2 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,54
 *, *, *, *,3900uf10ve,0,0,CHENG ,CAP ALUM 3900uf10ve  20% RADIAL,Cut Tape (CT), - ,Active,10,,7,55
 *, *, *, *,220uf35V,0,0,CHENG ,CAP ALUM 220uf35V V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,56
 *, *, *, *,1000uF,0,0,CHENG ,CAP ALUM 1000uF 50v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,57
 *, *, *, *,470uF,0,0,CHENG ,CAP ALUM 470uF 35v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,58
 *, *, *, *,10uF,0,0,CHENG ,CAP ALUM 10uF 450v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,59
 *, *, *, *,3300uF,0,0,CHENG ,CAP ALUM 3300uF 6.3v 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,60
 *, *, *, *,10u400v,0,0,CHENG ,CAP ALUM 10u400v  20% RADIAL,Cut Tape (CT), - ,Active,10,,7,61
 *, *, *, *,22uF,0,0,CHENG ,CAP ALUM 22uf25V V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,62
 *, *, *, *,100uF,0,0,CHENG ,CAP ALUM 100uF 50V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,63
 *, *, *, *,680uF,0,0,CHENG ,CAP ALUM 680uF 400V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,64
 *, *, *, *,10000uF,0,0,CHENG ,CAP ALUM 10000uF 25V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,65
 *, *, *, *,10000uF,0,0,CHENG ,CAP ALUM 10000uF 35V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,66
 *, *, *, *,680uF,0,0,CHENG ,CAP ALUM 680uF 10V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,67
 *, *, *, *,6800uF,0,0,CHENG ,CAP ALUM 6800uF 10V 20% RADIAL,Cut Tape (CT), - ,Active,10,,7,68
 *, *,,,10uF,0,0,Semtech Electronics,CAP ALUM 10uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,2
 *, *,,,100uF,0,0,Semtech Electronics,CAP ALUM 100uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,3
 *, *,,,150uF,0,0,Semtech Electronics,CAP ALUM 150uF 10V 20% SMD,Cut Tape (CT), - ,Active,10,,7,4
 *, *,,,220uF,0,0,Semtech Electronics,CAP ALUM 220uF 10V 20% SMD,Cut Tape (CT), - ,Active,10,,7,5
 *, *,,,220uF,0,0,Semtech Electronics,CAP ALUM 220uF 6.3V 20% SMD,Cut Tape (CT), - ,Active,10,,7,6
 *, *,,,4.7uF,0,0,Semtech Electronics,CAP ALUM 4.7uF 35V 20% SMD,Cut Tape (CT), - ,Active,10,,7,7
 *, *,,,33uF,0,0,Semtech Electronics,CAP ALUM 33uF 10V 20% SMD,Cut Tape (CT), - ,Active,10,,7,8
 *, *,,,0.1uF,0,0,Semtech Electronics,CAP ALUM 0.1uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,9
 *, *,,,47uF,0,0,Semtech Electronics,CAP ALUM 47uF 6.3V 20% SMD,Cut Tape (CT), - ,Active,10,,7,10
 *, *,,,220uF,0,0,Semtech Electronics,CAP ALUM 220uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,11
 *, *,,,33uF,0,0,Semtech Electronics,CAP ALUM 33uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,12
 *, *,,,330uF,0,0,Semtech Electronics,CAP ALUM 330uF 35V 20% SMD,Cut Tape (CT), - ,Active,10,,7,13
 *, *,,,10uF,0,0,Semtech Electronics,CAP ALUM 10uF 35V 20% SMD,Cut Tape (CT), - ,Active,10,,7,14
 *, *,,,47uF,0,0,Semtech Electronics,CAP ALUM 47uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,15
 *, *,,,4.7uF,0,0,Semtech Electronics,CAP ALUM 4.7uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,16
 *, *,,,22uF,0,0,Semtech Electronics,CAP ALUM 22uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,17
 *, *,,,3.3uF,0,0,Semtech Electronics,CAP ALUM 3.3uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,18
 *, *,,,470uF,0,0,Semtech Electronics,CAP ALUM 470uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,19
 *, *,,,22uF,0,0,Semtech Electronics,CAP ALUM 22uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,20
 *, *,,,33uF,0,0,Semtech Electronics,CAP ALUM 33uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,21
 *, *,,,22uF,0,0,Semtech Electronics,CAP ALUM 22uF 35V 20% SMD,Cut Tape (CT), - ,Active,10,,7,22
 *, *,,,4.7uF,0,0,Semtech Electronics,CAP ALUM 4.7uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,23
 *, *,,,10uF,0,0,Semtech Electronics,CAP ALUM 10uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,24
 *, *,,,100uF,0,0,Semtech Electronics,CAP ALUM 100uF 35V 20% SMD,Cut Tape (CT), - ,Active,10,,7,25
 *, *,,,47uF,0,0,Semtech Electronics,CAP ALUM 47uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,26
 *, *,,,220uF,0,0,Semtech Electronics,CAP ALUM 220uF 35V 20% SMD,Cut Tape (CT), - ,Active,10,,7,27
 *, *,,,100uF,0,0,Semtech Electronics,CAP ALUM 100uF 10V 20% SMD,Cut Tape (CT), - ,Active,10,,7,28
 *, *,,,470uF,0,0,Semtech Electronics,CAP ALUM 470uF 35V 20% SMD,Cut Tape (CT), - ,Active,10,,7,29
 *, *,,,100uF,0,0,Semtech Electronics,CAP ALUM 100uF 25V 20% SMD,Cut Tape (CT), - ,Active,10,,7,30
 *, *,,,150uF,0,0,Semtech Electronics,CAP ALUM 150uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,31
 *, *,,,33uF,0,0,Semtech Electronics,CAP ALUM 33uF 4V 20% SMD,Cut Tape (CT), - ,Active,10,,7,32
 *, *,,,39uF,0,0,Semtech Electronics,CAP ALUM 39uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,33
 *, *,,,68uF,0,0,Semtech Electronics,CAP ALUM 68uF 4V 20% SMD,Cut Tape (CT), - ,Active,10,,7,34
 *, *,,,40uF,0,0,Semtech Electronics,CAP ALUM 40uF 100V 20% SMD,Cut Tape (CT), - ,Active,10,,7,35
 *, *,,,0.22uF,0,0,Semtech Electronics,CAP ALUM 0.22uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,36
 *, *,,,0.47uF,0,0,Semtech Electronics,CAP ALUM 0.47uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,37
 *, *,,,33uF,0,0,Semtech Electronics,CAP ALUM 33uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,38
 *, *,,,47uF,0,0,Semtech Electronics,CAP ALUM 47uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,39
 *, *,,,330uF,0,0,Semtech Electronics,CAP ALUM 330uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,40
 *, *,,,1000uF,0,0,Semtech Electronics,CAP ALUM 1000uF 10V 20% SMD,Cut Tape (CT), - ,Active,10,,7,41
 *, *,,,3.3uF,0,0,Semtech Electronics,CAP ALUM 3.3uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,42
 *, *,,,220uF,0,0,Semtech Electronics,CAP ALUM 220uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,43
 *, *,,,330uF,0,0,Semtech Electronics,CAP ALUM 330uF 6.3V 20% SMD,Cut Tape (CT), - ,Active,10,,7,44
 *, *,,,22uF,0,0,Semtech Electronics,CAP ALUM 22uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,45
 *, *,,,100uF,0,0,Semtech Electronics,CAP ALUM 100uF 6.3V 20% SMD,Cut Tape (CT), - ,Active,10,,7,46
 *, *,,,10uF,0,0,Semtech Electronics,CAP ALUM 10uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,47
 *, *,,,220uF,0,0,Semtech Electronics,CAP ALUM 220uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,48
 *, *,,,68uF,0,0,Semtech Electronics,CAP ALUM 68uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,49
 *, *,,,1000uF,0,0,Semtech Electronics,CAP ALUM 1000uF 6.3V 20% SMD,Cut Tape (CT), - ,Active,10,,7,50
 *, *,,,1000uF,0,0,Semtech Electronics,CAP ALUM 1000uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,51
 *, *,,,2.2uF,0,0,Semtech Electronics,CAP ALUM 2.2uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,52
 *, *,,,1uF,0,0,Semtech Electronics,CAP ALUM 1uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,53
 *, *,,,1000uF,0,0,Semtech Electronics,CAP ALUM 1000uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,54
 *, *,,,470uF,0,0,Semtech Electronics,CAP ALUM 470uF 10V 20% SMD,Cut Tape (CT), - ,Active,10,,7,55
 *, *,,,100uF,0,0,Semtech Electronics,CAP ALUM 100uF 50V 20% SMD,Cut Tape (CT), - ,Active,10,,7,56
 *, *,,,33uF,0,0,Semtech Electronics,CAP ALUM 33uF 200V 20% SMD,Cut Tape (CT), - ,Active,10,,7,57
 *, *,,,680uF,0,0,Semtech Electronics,CAP ALUM 680uF 16V 20% SMD,Cut Tape (CT), - ,Active,10,,7,58