18V,±6%,200mW,45 Ohms,50nA @ 13V,900mV @ 10mA,-,Surface Mount,TO-236-3* SC-59* SOT-23-3,Mini3-G1
20V,±5%,1W,22 Ohms,5µA @ 15.2V,-,-65°C ~ 200°C,Through Hole,DO-204AL* DO-41* Axial,DO-41
6.8V,±5%,1W,3.5 Ohms,10µA @ 4V,-,-65°C ~ 200°C,Through Hole,DO-204AL* DO-41* Axial,DO-41
3.3V,±5%,400mW,95 Ohms,5µA @ 1V,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
4.7V,±5%,1.3W,4 Ohms,-,-,175°C,Through Hole,DO-204AL* DO-41* Axial,DO-41
5.6V,±7%,300mW,40 Ohms,1µA @ 2V,900mV @ 10mA,-65°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
22.05V,±5.67%,250mW,55 Ohms,100nA @ 15V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
12.05V,±5.39%,250mW,25 Ohms,100nA @ 8V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
24.2V,±5.79%,250mW,70 Ohms,100nA @ 17V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
17.95V,±6.41%,250mW,45 Ohms,100nA @ 13V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
11V,±5.45%,250mW,20 Ohms,100nA @ 8V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
33V,±6.06%,250mW,80 Ohms,100nA @ 23V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
6.8V,±2%,250mW,15 Ohms,2µA @ 4V,900mV @ 10mA,-65°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,TO-236AB (SOT23)
10V,±6%,250mW,20 Ohms,200nA @ 7V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
2.7V,±7.41%,250mW,100 Ohms,20µA @ 1V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
15V,±6%,300mW,30 Ohms,50nA @ 10.5V,-,-55°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
13.25V,±6.42%,250mW,30 Ohms,100nA @ 8V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
16.2V,±5.56%,250mW,40 Ohms,100nA @ 11V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
27V,±7.04%,250mW,80 Ohms,100nA @ 19V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
5.6V,±5%,500mW,40 Ohms,1µA @ 2V,900mV @ 10mA,-65°C ~ 200°C,Surface Mount,DO-213AC* MINI-MELF* SOD-80,SOD-80C
6.2V,±5%,400mW,10 Ohms,3µA @ 4V,1.1V @ 100mA,-65°C ~ 150°C,Surface Mount,SOD-110,SOD110
24V,±5%,1W,25 Ohms,5µA @ 18.2V,1.2V @ 200mA,-65°C ~ 175°C,Surface Mount,DO-213AB* MELF,MELF
3.6V,±6%,500mW,90 Ohms,5µA @ 1V,900mV @ 10mA,-65°C ~ 150°C,Surface Mount,SOD-123,SOD-123
16V,±5%,1W,40 Ohms,50nA @ 11.2V,1V @ 50mA,-65°C ~ 150°C,Surface Mount,TO-243AA,SOT-89-3
15V,±5%,500mW,30 Ohms,100nA @ 11V,1.5V @ 200mA,-65°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
43V,±5%,400mW,150 Ohms,50nA @ 700mV,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
2.7V,±5%,500mW,85 Ohms,10µA @ 1V,1.5V @ 200mA,-65°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
18V,±5%,500mW,50 Ohms,100nA @ 13V,1.5V @ 200mA,-65°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
33V,±2%,500mW,80 Ohms,100nA @ 24V,1.5V @ 200mA,-65°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
47V,±5%,500mW,110 Ohms,100nA @ 36V,1.5V @ 200mA,-65°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
51V,±5%,400mW,180 Ohms,50nA @ 35.7V,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
6.2V,±5%,500mW,10 Ohms,100nA @ 2V,1.5V @ 200mA,-65°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
36V,±2%,500mW,80 Ohms,100nA @ 27V,1V @ 100mA,-55°C ~ 175°C (TJ),Through Hole,DO-204AH* DO-35* Axial,DO-35
22V,±5%,500mW,55 Ohms,100nA @ 16V,1.5V @ 200mA,-65°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
33V,±5%,500mW,80 Ohms,100nA @ 24V,1.5V @ 200mA,-65°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
3.3V,±6%,500mW,85 Ohms,2µA @ 1V,1.5V @ 200mA,-,Through Hole,DO-204AH* DO-35* Axial,DO-35
51V,±5%,1.3W,125 Ohms,50nA @ 36V,1V @ 50mA,-65°C ~ 200°C,Through Hole,DO-204AL* DO-41* Axial,DO-41
7.5V,±6%,1W,3 Ohms,1µA @ 4.5V,1.2V @ 200mA,-65°C ~ 200°C,Through Hole,DO-204AL* DO-41* Axial,DO-204AL (DO-41)
6.8V,±5%,1W,3.5 Ohms,10µA @ 4V,-,-65°C ~ 200°C,Through Hole,DO-204AL* DO-41* Axial,DO-41
20V,±5%,500mW,55 Ohms,50nA @ 14V,1.5V @ 100mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
3V,±5%,400mW,95 Ohms,10µA @ 1V,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
2.7V,±5%,400mW,100 Ohms,20µA @ 1V,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
6.8V,±5%,400mW,15 Ohms,2µA @ 4V,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
7.5V,±5%,400mW,15 Ohms,1µA @ 5V,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
16V,±5%,400mW,40 Ohms,50nA @ 700mV,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
6.2V,±5%,400mW,10 Ohms,3µA @ 4V,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
4.7V,±5%,500mW,80 Ohms,3µA @ 2V,1.5V @ 100mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
9.1V,±5%,500mW,15 Ohms,500nA @ 6V,1.5V @ 100mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
3.3V,±5%,400mW,95 Ohms,5µA @ 1V,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
3.9V,±5%,500mW,90 Ohms,10µA @ 1V,1.5V @ 100mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
3.3V,±2%,400mW,95 Ohms,5µA @ 1V,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
24V,±5%,400mW,70 Ohms,50nA @ 16.8V,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
11V,±5%,400mW,20 Ohms,100nA @ 8V,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
4.7V,±6%,1W,13 Ohms,3µA @ 1.5V,1.2V @ 200mA,-65°C ~ 200°C,Through Hole,DO-204AL* DO-41* Axial,DO-204AL (DO-41)
3V,±5%,1.3W,20 Ohms,100µA @ 1V,-,-55°C ~ 175°C,Through Hole,DO-204AL* DO-41* Axial,DO-41
3.9V,±5%,1W,15 Ohms,5µA @ 1V,1.2V @ 200mA,-65°C ~ 200°C,Through Hole,DO-204AL* DO-41* Axial,DO-204AL (DO-41)
4.3V,±5%,1.3W,13 Ohms,3µA @ 1V,-,-55°C ~ 175°C,Through Hole,DO-204AL* DO-41* Axial,DO-41
36V,±6%,1W,40 Ohms,500nA @ 25V,1.2V @ 200mA,-65°C ~ 200°C,Through Hole,DO-204AL* DO-41* Axial,DO-204AL (DO-41)
3.3V,±6%,1W,20 Ohms,60µA @ 1V,1.2V @ 200mA,-65°C ~ 200°C,Through Hole,DO-204AL* DO-41* Axial,DO-204AL (DO-41)
6.2V,±2%,1.3W,4 Ohms,1µA @ 3V,-,-55°C ~ 175°C,Through Hole,DO-204AL* DO-41* Axial,DO-41
4.3V,±5%,1.3W,13 Ohms,3µA @ 1V,-,-55°C ~ 175°C,Through Hole,DO-204AL* DO-41* Axial,DO-41
30V,±5%,1.3W,30 Ohms,500nA @ 22V,-,-55°C ~ 175°C,Through Hole,DO-204AL* DO-41* Axial,DO-41
6.2V,±6%,1W,4 Ohms,1µA @ 3V,1.2V @ 200mA,-65°C ~ 200°C,Through Hole,DO-204AL* DO-41* Axial,DO-204AL (DO-41)
7.5V,±6%,1W,3 Ohms,1µA @ 4.5V,1.2V @ 200mA,-65°C ~ 200°C,Through Hole,DO-204AL* DO-41* Axial,DO-204AL (DO-41)
8.2V,±6%,1W,5 Ohms,1µA @ 5V,1.2V @ 200mA,-65°C ~ 200°C,Through Hole,DO-204AL* DO-41* Axial,DO-204AL (DO-41)
130V,±5%,5W,190 Ohms,500nA @ 98.8V,1.2V @ 1A,-65°C ~ 200°C,Through Hole,T-18* Axial,Axial
91V,±5%,5W,75 Ohms,500nA @ 69.2V,1.2V @ 1A,-65°C ~ 200°C,Through Hole,T-18* Axial,Axial
6.2V,±5%,500mW,15 Ohms,2µA @ 3V,-,-65°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,
6.2V,±5%,500mW,15 Ohms,2µA @ 3V,-,-55°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,
62V,±5%,2W,60 Ohms,500nA @ 47.1V,1.2V @ 200mA,-65°C ~ 150°C,Through Hole,DO-204AL* DO-41* Axial,DO-204AL (DO-41)
24V,±5%,400mW,30 Ohms,50nA @ 16.8V,1.1V @ 100mA,-65°C ~ 150°C,Surface Mount,SOD-110,
12V,±5%,350mW,25 Ohms,100nA @ 8V,900mV @ 10mA,-55°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3 (TO-236)
15V,±6%,350mW,30 Ohms,50nA @ 10.5V,900mV @ 10mA,-55°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3 (TO-236)
5.1V,±6%,350mW,60 Ohms,2µA @ 2V,900mV @ 10mA,-55°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3 (TO-236)
5.6V,±7%,350mW,40 Ohms,1µA @ 2V,900mV @ 10mA,-55°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3 (TO-236)
8.2V,±6%,350mW,15 Ohms,700nA @ 5V,900mV @ 10mA,-55°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3 (TO-236)
12V,±5%,1W,7 Ohms,1µA @ 9.1V,1.2V @ 200mA,-65°C ~ 150°C,Surface Mount,DO-214AC* SMA,SMA
5.6V,±5%,2W,2 Ohms,5µA @ 3V,1.2V @ 200mA,-65°C ~ 150°C,Surface Mount,DO-214AA* SMB,SMBJ (DO-214AA)
5.1V,±5%,1W,7 Ohms,10µA @ 1V,-,-,Surface Mount,DO-214AC* SMA,DO-214AC (SMA)
5.6V,±5%,1W,5 Ohms,10µA @ 2V,-,150°C,Surface Mount,DO-214AC* SMA,
5.6V,±5%,500mW,5 Ohms,200µA @ 3V,1.5V @ 200mA,-65°C ~ 150°C,Surface Mount,DO-220AA,DO-220AA (SMP)
11V,±5%,10W,3 Ohms,10µA @ 8.4V,1.5V @ 2A,-65°C ~ 175°C,Chassis* Stud Mount,DO-203AA* DO-4* Stud,DO-213AA
6.2V,±6%,350mW,10 Ohms,3µA @ 4V,900mV @ 10mA,-55°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3 (TO-236)
6.8V,±6%,350mW,15 Ohms,2µA @ 4V,900mV @ 10mA,-55°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3 (TO-236)
3.9V,±5%,350mW,90 Ohms,5µA @ 1V,900mV @ 10mA,-55°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3 (TO-236)
9.1V,±6%,350mW,15 Ohms,500nA @ 6V,900mV @ 10mA,-55°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3 (TO-236)
7.5V,±6%,350mW,15 Ohms,1µA @ 5V,900mV @ 10mA,-55°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3 (TO-236)
4.3V,±7%,350mW,90 Ohms,5µA @ 1V,900mV @ 10mA,-55°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3 (TO-236)
4.7V,±6%,350mW,80 Ohms,3µA @ 2V,900mV @ 10mA,-55°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3 (TO-236)
5.1V,±6%,350mW,60 Ohms,2µA @ 2V,900mV @ 10mA,-55°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3 (TO-236)
4.3V,±3%,500mW,40 Ohms,5µA @ 1V,-,Surface Mount,DO-213AC* MINI-MELF* SOD-80,,
3.3V,±5%,400mW,95 Ohms,5µA @ 1V,1.1V @ 100mA,-65°C ~ 150°C,Surface Mount,SOD-110,
3.6V,±5%,400mW,90 Ohms,5µA @ 1V,1.1V @ 100mA,-65°C ~ 150°C,Surface Mount,SOD-110,
